"SEI GMF Eurp Ex-UK Eq USD Instl+ H Acc","IE00B040M092","","18019.700500","110.448000","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Blend","Large Blend","99.123042","108.887301","101.984987","103.811287","101.601440","101.380261","","",""
"Threadneedle (Lux) European Select ZE","LU2388371978","","52625.835910","241.693000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","97.884445","95.730221","101.912829","108.644871","118.824633","130.456082","","",""
"St James's Place Continental Europe Acc","GB00B249JZ41","","12690.737580","216.715000","","","","","","","","","","","","","96.457612","103.368515","93.466822","95.250038","101.618085","94.834911","","",""
"Alken Sustainable Europe SGB1","LU1696658696","","4435.520450","52.278000","","","","","","Mid Value","","","","","","","95.650412","94.221347","98.215876","76.544732","127.292164","60.008193","","",""
"Janus Henderson Hrzn European Gr H1 EUR","LU0976556695","","27834.739700","183.158000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","95.560896","98.433870","99.110754","92.985491","104.814851","90.927112","","",""
"Threadneedle (Lux) Eur Smlr Com 2E EUR","LU1865158890","","5007.472410","255.644000","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","94.213379","97.701211","90.969383","101.396033","95.013204","103.741219","","",""
"CRUX (Lux) European Special Sits £ A Acc","LU1598676846","","21280.856780","140.834000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","","92.444210","111.389988","95.906608","114.623227","99.612489","105.739709","","",""
"LO Funds Cont Europe S&M Ldrs EUR MA","LU0866421158","","4586.483130","221.414000","","Mid Growth","","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","","87.672925","96.860613","84.284902","100.188525","79.034879","94.604434","","",""
"AB Europe Ex UK Eq I EUR","LU2106584597","","26209.315940","96.224000","Large Blend","Large Blend","Large Blend","Large Value","Large Value","Large Value","","","","","","","","","","","","","","",""
"AI Europe Eq Ex UK Core FoF Acc","GB00BMTWF053","","39180.394430","155.889000","","","","","","","","","Large Blend","Large Blend","Large Blend","Large Blend","","","","","","","","",""
"Berenberg Europe ex UK Focus F GBP A","LU2346245801","","18424.488300","279.085000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","","","","","","","115.897806","191.056294","","",""
"BGF Continental Eurp Flex D2 GBP Hdg","LU0827876235","","49027.489500","244.258000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","","","","","","","",""
"BlackRock Advtg Eurp ex UK Eq D EUR Acc","IE00BFZP7G97","","44528.522870","163.095000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","","","104.617423","96.096506","107.894959","93.846775","","",""
"BlackRock Advtg Eurp ex UK Eq D GBPH Acc","IE00BG1DFF97","","44528.522870","163.095000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","","","","","","","","",""
"BlkRk ACS Eurp ex UK ESG Insgts Eq X1 FA","GB00BM9KLR88","","40816.375400","139.848000","","","","","","","","","Large Blend","Large Blend","Large Blend","Large Blend","","","","","","","","",""
"DNCA European Sel Eq H-Q/A GBP Acc","GB00BYYH8J94","","18707.190540","53.484000","","","","","","","","","","","","","","","","","","","","",""
"Fidelity Europe ex UK Equity Feeder Acc","GB00BKS6CB48","","","","","","","","","","","","","","","","","","104.352551","98.657602","99.267019","87.307576","","",""
"Invesco Cnttl Eur Sm Cp Eq C USDH Acc","LU1775961839","","1819.533370","171.518000","Small Growth","Small Blend","Small Blend","Small Growth","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","","","","","","","","",""
"iShares Contnn Eurp Eq ESG Idx (UK) DAcc","GB00BN08ZZ41","","39114.641360","136.944000","","","","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","","","","","","","115.464212","115.429555","","",""
"iShares Europe ex-UK Idx (IE) Flex Acc€H","IE00BJLMKK76","","","","Large Blend","Large Blend","Large Blend","Large Blend","","Large Blend","Large Blend","Large Blend","","Large Blend","","","","","","","","","","",""
"Janus Henderson Hrzn European Gr R1 HUSD","LU0506436111","","27834.739700","183.158000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","","","","","","","","",""
"Janus HndrsnContinen Eurp H2 HUSD","LU1276832471","","54303.045800","148.391000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","","","","","","","","",""
"LO Funds Cont Europe S&M Ldrs SH USD MA","LU1336953622","","4586.483130","221.414000","","Mid Growth","","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","","","","","","","","","",""
"Memnon European R USD Acc","LU0578134313","","27155.042810","90.098000","Large Blend","Large Blend","Large Blend","Large Blend","Large Value","Large Blend","Large Value","Large Blend","Large Value","","","","","","","","","","","",""
"MI Quilter Cheviot European Equity A Inc","GB00BMT7QP23","","63157.506440","167.965000","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","","","","","119.263708","120.646958","","",""
"New Capital Europe Ftr Ldrs N USD Acc","IE00BK5H1358","","29326.109180","291.875000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","","","","","","","",""
"New Capital Europe Future Ldrs O EUR Acc","IE00BK5H0R25","","29326.109180","291.875000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","","98.807769","121.814177","105.255678","150.604121","","",""
"NFU Mutual Dev Europe (ex UK) Eq Core I","GB00BKM04F05","","","","","","","","","","","","","","","","","","","","97.828874","90.475203","","",""
"Northern Trust Europe Ex-UK Eq Idx B GBP","IE00B5N6WK38","","44418.978250","124.506000","","","","","","","","","","","","","","","","","","","","",""
"Omnis European Equity Leaders A Inc","GB00BJRD8887","","55796.118050","205.142000","Large Blend","Large Blend","Large Blend","Large Blend","Large Growth","Large Growth","","Large Growth","Large Growth","","","","","","102.194475","90.019076","104.459094","75.572185","","",""
"Omnis European Equity Opps A Inc","GB00BJRD8994","","10523.844340","180.145000","Mid Blend","Mid Blend","Mid Blend","Mid Blend","Mid Blend","Mid Blend","","Mid Blend","Mid Blend","","","","","","91.966542","89.940367","96.448033","84.907616","","",""
