Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other,Average
01/08/1980,-35.96%,-38.43%,-30.07%,-17.43%,1.39%,-59.76%,39.52%,-57.88%,14.32%,26.98%,45.72%,44.53%,1.94%,3.10%,-12.25%,72.87%,112.79%,150.73%,-11.57%,-27.83%,-16.49%,-4.26%,-17.67%,-12.15%,-15.89%,33.04%,-37.59%,-15.62%,-38.22%,-18.06%,0.00%
01/09/1980,-38.30%,-39.55%,-33.17%,-16.86%,2.47%,-60.72%,39.37%,-57.57%,13.43%,23.13%,44.03%,47.00%,4.93%,1.93%,-13.15%,75.40%,132.73%,162.49%,-8.10%,-29.79%,-20.22%,-1.10%,-18.37%,-13.97%,-16.97%,38.87%,-39.88%,-15.70%,-38.37%,-17.50%,0.00%
01/12/1979,-39.50%,-39.72%,-31.08%,-17.20%,1.04%,-60.81%,39.45%,-58.44%,11.46%,24.41%,48.45%,44.38%,7.72%,3.70%,-17.48%,69.06%,130.10%,161.67%,-1.36%,-28.91%,-23.41%,2.96%,-17.52%,-14.53%,-12.26%,37.38%,-41.44%,-19.71%,-38.80%,-15.41%,0.00%
01/01/1980,-41.60%,-36.98%,-35.99%,-17.12%,-1.31%,-62.84%,31.97%,-61.67%,9.05%,22.74%,50.88%,60.28%,9.15%,5.40%,-14.72%,98.99%,150.66%,167.18%,6.28%,-32.38%,-29.95%,3.58%,-16.86%,-16.11%,-9.57%,35.93%,-45.49%,-22.51%,-41.50%,-14.30%,0.00%
01/02/1980,-43.41%,-36.75%,-37.36%,-17.85%,-4.85%,-63.60%,34.80%,-62.43%,10.50%,24.59%,51.55%,64.69%,8.38%,3.66%,-17.90%,87.73%,170.19%,172.10%,22.65%,-32.86%,-29.13%,3.16%,-17.60%,-14.11%,-11.20%,36.14%,-47.00%,-24.99%,-42.86%,-14.04%,0.00%
01/01/1981,-41.29%,-32.96%,-37.13%,-20.05%,-4.57%,-63.43%,47.28%,-62.48%,12.97%,35.53%,50.53%,68.26%,2.79%,2.58%,-17.65%,75.86%,152.26%,154.59%,11.69%,-33.72%,-24.18%,2.65%,-23.20%,-11.97%,-7.96%,33.91%,-45.99%,-23.10%,-43.47%,-15.67%,0.00%
01/02/1981,-41.30%,-32.38%,-36.52%,-18.97%,-4.45%,-61.00%,47.51%,-62.65%,14.76%,34.05%,52.32%,68.67%,3.92%,2.28%,-13.93%,65.79%,137.49%,146.38%,8.59%,-36.12%,-24.30%,1.07%,-24.57%,-6.79%,-8.19%,29.01%,-45.50%,-18.14%,-43.66%,-16.68%,0.00%
01/03/1981,-41.59%,-32.01%,-37.78%,-14.02%,-3.85%,-62.74%,49.44%,-63.23%,9.20%,30.49%,53.66%,89.80%,2.01%,4.28%,-13.55%,57.93%,159.49%,139.32%,-2.25%,-38.97%,-29.04%,3.25%,-26.60%,-8.82%,-4.21%,36.26%,-42.18%,-17.08%,-43.97%,-17.99%,0.00%
01/04/1981,-42.00%,-33.91%,-37.61%,-12.87%,0.75%,-63.19%,43.46%,-62.39%,5.85%,43.43%,49.47%,85.41%,1.28%,8.81%,-12.78%,58.19%,156.55%,122.27%,-10.26%,-40.99%,-25.16%,6.97%,-27.20%,-12.11%,-3.03%,33.35%,-40.16%,-13.73%,-44.04%,-16.24%,0.00%
01/05/1981,-41.48%,-34.29%,-37.59%,-9.19%,3.79%,-63.94%,43.19%,-61.79%,2.44%,41.66%,46.97%,81.82%,-1.58%,10.44%,-11.85%,53.83%,151.44%,118.60%,-15.56%,-40.93%,-21.20%,8.17%,-25.46%,-13.67%,0.30%,33.51%,-39.73%,-13.18%,-43.54%,-15.62%,0.00%
01/06/1981,-41.02%,-32.76%,-35.68%,-13.64%,4.77%,-63.90%,47.96%,-63.26%,6.53%,43.72%,47.04%,73.40%,-2.94%,7.26%,-12.66%,52.51%,149.40%,124.87%,-10.05%,-37.88%,-21.34%,5.55%,-29.21%,-12.35%,-4.96%,32.42%,-39.43%,-13.40%,-41.59%,-17.25%,0.00%
01/07/1981,-40.70%,-32.39%,-33.22%,-18.34%,4.26%,-64.35%,50.81%,-64.09%,4.26%,41.70%,41.61%,76.53%,-0.64%,3.19%,-14.32%,44.74%,165.78%,148.43%,-1.53%,-35.13%,-19.77%,3.54%,-30.65%,-13.47%,-7.55%,30.00%,-40.11%,-17.08%,-42.43%,-17.17%,0.00%
01/08/1981,-39.99%,-32.11%,-32.92%,-18.17%,6.40%,-64.37%,51.49%,-64.67%,3.98%,40.72%,41.43%,74.59%,-1.29%,4.92%,-16.64%,37.06%,183.83%,133.08%,-1.73%,-31.69%,-15.49%,3.47%,-31.35%,-14.52%,-9.13%,35.15%,-40.08%,-20.82%,-41.89%,-18.31%,0.00%
01/09/1981,-38.07%,-28.98%,-29.25%,-15.60%,6.77%,-63.34%,54.64%,-63.29%,0.10%,45.00%,36.03%,67.12%,-5.77%,4.78%,-15.58%,37.54%,154.48%,124.41%,-8.71%,-31.91%,-8.69%,1.70%,-30.28%,-14.81%,-9.52%,29.67%,-38.52%,-18.84%,-40.28%,-21.00%,0.00%
01/12/1980,-36.21%,-27.36%,-29.33%,-11.00%,9.79%,-64.97%,49.58%,-62.57%,0.32%,44.82%,28.41%,59.19%,-7.39%,2.70%,-28.01%,39.84%,137.77%,141.88%,-5.08%,-32.67%,-8.65%,6.33%,-31.22%,-18.14%,-6.75%,33.61%,-38.83%,-14.26%,-39.40%,-18.46%,0.00%
01/01/1981,-33.82%,-23.00%,-29.07%,-13.39%,10.11%,-64.82%,63.43%,-62.62%,2.56%,57.54%,27.56%,62.63%,-12.17%,1.63%,-27.80%,30.99%,121.99%,126.31%,-13.56%,-33.53%,-2.28%,5.81%,-35.89%,-16.11%,-3.35%,31.42%,-37.67%,-12.10%,-40.05%,-20.00%,0.00%
01/02/1981,-33.83%,-22.33%,-28.38%,-12.22%,10.25%,-62.48%,63.69%,-62.79%,4.18%,55.82%,29.07%,63.03%,-11.20%,1.34%,-24.54%,23.49%,108.99%,119.01%,-15.96%,-35.94%,-2.43%,4.18%,-37.03%,-11.16%,-3.59%,26.62%,-37.10%,-6.42%,-40.25%,-20.96%,0.00%
01/01/1982,-32.66%,-19.12%,-26.26%,-6.42%,7.91%,-59.84%,65.28%,-61.39%,1.51%,62.95%,23.69%,52.26%,-13.98%,1.53%,-23.53%,22.25%,82.49%,107.69%,-21.26%,-34.91%,0.46%,2.19%,-33.60%,-11.40%,-4.81%,26.87%,-34.82%,-5.06%,-40.15%,-22.22%,0.00%
01/02/1982,-30.06%,-16.67%,-25.58%,-7.73%,11.32%,-59.34%,66.23%,-60.32%,-1.30%,62.10%,22.05%,52.06%,-17.13%,2.20%,-22.42%,20.39%,76.34%,90.47%,-26.25%,-32.21%,-0.67%,1.44%,-33.89%,-10.08%,-5.18%,28.48%,-32.22%,-3.92%,-39.16%,-21.79%,0.00%
01/03/1982,-27.72%,-12.58%,-22.73%,-2.74%,11.45%,-58.86%,67.87%,-61.27%,-2.35%,63.12%,18.56%,44.47%,-20.53%,4.82%,-18.60%,21.14%,55.02%,78.39%,-28.76%,-30.99%,1.54%,-0.52%,-36.29%,-11.22%,-4.26%,27.64%,-28.75%,4.35%,-39.69%,-23.04%,0.00%
01/04/1982,-26.57%,-8.11%,-20.93%,-3.47%,11.89%,-59.98%,69.74%,-60.29%,-2.26%,71.88%,16.51%,39.85%,-23.96%,6.73%,-18.32%,23.53%,47.07%,75.77%,-29.04%,-31.66%,-3.50%,2.61%,-34.65%,-12.80%,-5.44%,25.43%,-27.78%,5.14%,-40.60%,-22.02%,0.00%
01/05/1982,-25.51%,-6.80%,-21.51%,-4.63%,10.32%,-59.21%,76.77%,-59.94%,-2.75%,73.57%,15.30%,35.79%,-27.03%,7.19%,-15.06%,21.91%,42.58%,64.93%,-24.40%,-29.32%,-0.73%,1.19%,-35.58%,-13.67%,-7.91%,28.00%,-26.85%,4.24%,-41.58%,-22.09%,0.00%
01/06/1982,-22.97%,-3.56%,-18.36%,-1.71%,11.58%,-58.03%,84.28%,-59.70%,-6.20%,70.90%,13.48%,28.50%,-30.65%,6.44%,-10.55%,22.21%,32.23%,57.52%,-28.29%,-29.96%,-1.94%,-0.15%,-36.17%,-12.14%,-5.90%,28.97%,-23.32%,8.54%,-42.28%,-23.60%,0.00%
01/07/1982,-21.13%,6.53%,-21.38%,-0.97%,11.96%,-56.55%,85.96%,-58.66%,-8.66%,76.45%,13.00%,24.88%,-33.43%,6.68%,-12.31%,28.39%,24.84%,43.85%,-32.70%,-30.54%,0.97%,0.81%,-33.74%,-12.39%,-9.92%,29.40%,-21.53%,9.78%,-43.00%,-22.41%,0.00%
01/08/1982,-25.05%,-2.08%,-20.33%,-10.33%,11.65%,-56.44%,85.03%,-58.55%,-5.90%,70.90%,16.06%,26.36%,-34.06%,9.94%,-9.21%,37.73%,35.82%,41.68%,-34.25%,-30.68%,-0.33%,0.45%,-33.33%,-10.61%,-10.66%,34.83%,-21.89%,8.62%,-43.37%,-24.13%,0.00%
01/09/1982,-23.68%,2.36%,-18.12%,-11.85%,19.32%,-56.99%,102.74%,-58.68%,-7.83%,72.60%,15.23%,17.72%,-38.31%,5.30%,-12.11%,35.56%,32.46%,36.37%,-34.03%,-31.07%,-0.95%,4.38%,-33.83%,-11.61%,-14.59%,38.04%,-18.86%,7.44%,-40.93%,-22.89%,0.00%
01/12/1981,-28.47%,-4.20%,-19.12%,-5.75%,22.71%,-57.64%,99.91%,-60.76%,-8.67%,78.45%,22.22%,12.93%,-39.60%,10.03%,-8.65%,35.87%,33.99%,30.71%,-39.18%,-36.92%,-6.10%,8.97%,-31.82%,-9.57%,-10.67%,44.58%,-15.85%,6.73%,-39.87%,-21.62%,0.00%
01/01/1982,-27.20%,-0.25%,-16.72%,0.48%,20.11%,-54.66%,101.86%,-59.30%,-11.00%,86.62%,17.13%,5.46%,-41.49%,10.24%,-7.43%,34.50%,17.00%,23.96%,-43.01%,-35.91%,-3.32%,6.89%,-28.11%,-9.81%,-11.79%,44.87%,-12.80%,8.28%,-39.78%,-22.87%,0.00%
01/02/1982,-24.39%,2.77%,-15.95%,-0.93%,23.91%,-54.09%,103.02%,-58.17%,-13.47%,85.65%,15.58%,5.32%,-43.63%,10.96%,-6.09%,32.45%,13.06%,13.68%,-46.62%,-33.25%,-4.41%,6.11%,-28.42%,-8.47%,-12.14%,46.71%,-9.31%,9.59%,-38.78%,-22.44%,0.00%
01/01/1983,-28.28%,-0.15%,-20.89%,-0.69%,14.59%,-54.46%,89.22%,-59.43%,-9.44%,85.21%,14.17%,9.10%,-42.73%,13.30%,-8.10%,37.49%,26.95%,18.06%,-47.07%,-33.81%,3.10%,9.96%,-25.74%,-11.30%,-10.21%,47.20%,-12.78%,6.07%,-41.24%,-21.27%,0.00%
01/02/1983,-30.08%,0.92%,-22.14%,5.01%,20.25%,-54.03%,99.04%,-59.76%,-8.94%,89.60%,15.19%,9.46%,-44.36%,15.19%,-11.00%,41.44%,3.35%,3.76%,-49.15%,-35.24%,-0.93%,12.96%,-25.79%,-9.34%,-8.24%,54.86%,-9.23%,12.03%,-40.15%,-20.28%,0.00%
01/03/1983,-28.78%,8.48%,-20.60%,-2.79%,26.03%,-55.54%,116.51%,-59.41%,-11.28%,97.78%,17.15%,8.60%,-46.10%,8.89%,-15.03%,44.24%,3.23%,-0.35%,-47.96%,-37.46%,-3.91%,11.61%,-28.04%,-9.94%,-10.16%,54.65%,-2.90%,11.82%,-38.27%,-21.26%,0.00%
01/04/1983,-29.81%,7.05%,-22.31%,-4.05%,28.80%,-55.84%,121.66%,-60.05%,-9.45%,98.00%,14.56%,4.63%,-46.52%,2.37%,-7.11%,44.00%,6.25%,-4.06%,-46.50%,-38.66%,-5.42%,11.27%,-27.45%,-8.68%,-13.15%,54.67%,0.07%,12.09%,-36.82%,-19.37%,0.00%
01/05/1983,-31.96%,0.99%,-27.95%,0.11%,26.03%,-59.48%,116.89%,-62.07%,-7.62%,97.95%,14.24%,12.12%,-45.16%,7.18%,-10.68%,42.29%,15.14%,4.85%,-47.11%,-38.49%,-8.85%,12.89%,-27.40%,-7.75%,-11.16%,54.34%,-2.30%,13.14%,-37.89%,-16.53%,0.00%
01/06/1983,-33.74%,-3.03%,-31.10%,1.20%,28.63%,-59.37%,125.88%,-60.97%,-10.40%,104.73%,8.94%,5.46%,-45.33%,10.48%,-4.92%,46.31%,8.43%,9.40%,-45.79%,-41.18%,-12.26%,12.42%,-25.70%,-12.89%,-7.40%,59.04%,-0.03%,17.43%,-40.20%,-16.78%,0.00%
01/07/1983,-33.25%,-0.19%,-28.02%,-1.91%,27.66%,-60.49%,120.53%,-61.87%,-7.32%,110.10%,8.54%,8.12%,-44.86%,6.06%,-3.32%,43.55%,11.55%,11.36%,-45.26%,-38.63%,-13.91%,6.74%,-26.71%,-11.04%,-9.01%,52.83%,0.98%,14.72%,-39.96%,-15.93%,0.00%
01/08/1983,-31.61%,3.45%,-23.64%,-3.38%,25.58%,-60.81%,107.13%,-62.12%,-0.54%,110.38%,4.58%,17.03%,-45.47%,4.19%,-6.05%,35.89%,13.96%,12.91%,-41.06%,-37.45%,-11.66%,4.71%,-27.06%,-10.73%,-10.78%,49.54%,-4.07%,10.46%,-38.99%,-20.24%,0.00%
01/09/1983,-29.61%,5.94%,-18.89%,-3.30%,27.30%,-60.50%,104.64%,-62.51%,-3.00%,109.41%,5.72%,11.49%,-44.53%,5.28%,-3.73%,40.33%,-0.54%,15.04%,-45.33%,-35.98%,-11.70%,4.33%,-27.01%,-9.29%,-11.69%,50.11%,-4.34%,12.78%,-39.19%,-20.14%,0.00%
01/12/1982,-24.95%,6.38%,-14.18%,-4.38%,24.75%,-59.81%,101.70%,-62.14%,-2.73%,107.24%,4.27%,9.19%,-45.45%,5.98%,1.61%,40.49%,-9.04%,10.58%,-44.73%,-32.00%,-13.53%,-2.90%,-29.17%,-5.44%,-7.46%,47.07%,-2.12%,13.35%,-39.08%,-23.69%,0.00%
01/01/1983,-28.80%,3.35%,-19.23%,-4.15%,15.37%,-60.13%,87.99%,-63.28%,1.80%,106.75%,3.00%,13.10%,-44.57%,8.21%,-0.56%,45.83%,2.14%,14.84%,-45.20%,-32.58%,-6.75%,0.62%,-26.52%,-8.36%,-5.43%,47.56%,-5.86%,9.72%,-41.53%,-22.54%,0.00%
01/02/1983,-30.59%,4.46%,-20.50%,1.35%,21.07%,-59.76%,97.75%,-63.58%,2.36%,111.65%,3.91%,13.47%,-46.15%,10.02%,-3.70%,50.02%,-16.85%,0.93%,-47.35%,-34.04%,-10.39%,3.37%,-26.57%,-6.33%,-3.35%,55.25%,-2.03%,15.88%,-40.44%,-21.56%,0.00%
