FMDealingCode,TradeIdentifier,TradeFileDate,SchemeIdentifier,SecurityName,SecurityIdentifier,NewSecurity,Direction,DealType,Value,SettlementCurrency,PreviouslyReported,Notes,Scheme from Rebalancer (DELETE AFTER VERIFICATION),Scheme from PID lookup sheet (DELETE AFTER VERIFICATION)
ELIZABETH,150760,20/05/2022,70,STANDARD LIFE GLOBAL EMERGING MARKETS EQUITY INCOM,GB00B82VD295,N,SELL,CASH,220000,GBP,N,Rebalancing,CLARION MERIDIAN,MGTS Clarion Meridian Portfolio
ELIZABETH,150761,20/05/2022,69,ROYAL LONDON STERLING CREDIT Z FUND INCOME,GB00B4W1ZT22,N,SELL,CASH,60000,GBP,N,Rebalancing,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
ELIZABETH,150762,20/05/2022,69,MERIAN GOLD & SILVER FUND R GBP ACC,IE00BYVJRH94,N,BUY,CASH,80000,GBP,N,Rebalancing,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
ELIZABETH,150763,20/05/2022,69,LF Blue Whale Growth Fund I Sterling Acc,GB00BD6PG563,N,BUY,CASH,70000,GBP,N,Rebalancing,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
ELIZABETH,150764,20/05/2022,69,ARTEMIS INCOME INSTITUTIONAL ACC,GB00B2PLJH12,N,SELL,CASH,70000,GBP,N,Rebalancing,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
ELIZABETH,150765,20/05/2022,126,ISHARES JAPAN EQ D ACC,GB00B6QQ9X96,N,SELL,CASH,170000,GBP,N,Rebalancing,IBOSS 4,MGTS IBOSS 4 Fund
ELIZABETH,150766,20/05/2022,126,Janus Henderson UK Responsible Income Fund I Acc,GB00BLH39230,N,SELL,CASH,250000,GBP,N,Rebalancing,IBOSS 4,MGTS IBOSS 4 Fund
ELIZABETH,150767,20/05/2022,179,L&G STERLING CORPORATE BOND INDEX C ACC,GB00BG0QPD77,N,BUY,CASH,40000,GBP,N,Rebalancing,WEALTH BALANCED,MGTS Wealth Solutions Balanced Fund
ELIZABETH,150768,20/05/2022,179,FIDELITY INDEX US P ACC,GB00BJS8SH10,N,BUY,CASH,34000,GBP,N,Rebalancing,WEALTH BALANCED,MGTS Wealth Solutions Balanced Fund
