Instance:,PRD,Database:,Horizon,View/Table/SP Name:,"SELECT

SR.SchemeRangeName AS [Range]
,SD.PortfolioLongName AS [Fund]
,ssc.Share_Class_Name_Long AS [ShareClass]
,SP.PriceDate
,SP.QuotedBid

FROM Schemes.SchemePrices SP 
JOIN Schemes.ShareClasses ssc ON ssc.ShareClassID = SP.ShareClassID
JOIN Schemes.SchemeDetails SD ON SD.pID = ssc.pID
JOIN Schemes.SchemeRange SR ON SR.SchemeRangeID = SD.SchemeRangeID
WHERE SD.SchemeRangeID IN (1)
AND SP.PriceDate BETWEEN '2015-06-01' AND '2022-09-30'
ORDER BY SP.PriceDate, SR.SchemeRangeName, SD.PortfolioLongName, ssc.Share_Class_Name_Long",,22865 records. Last Refreshed 05/10/2022 14:11:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range,Fund,ShareClass,PriceDate,QuotedBid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts International Strategy Fund,Margetts International Strategy Fund R Acc,03/06/2015,287.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts Providence Strategy Fund,Margetts Providence Strategy Fund Acc,03/06/2015,336.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts Providence Strategy Fund,Margetts Providence Strategy Fund Inc,03/06/2015,166.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts Providence Strategy Fund,Margetts Providence Strategy Fund R Acc,03/06/2015,342.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts Providence Strategy Fund,Margetts Providence Strategy Fund R Inc,03/06/2015,169.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts Select Strategy Fund,Margetts Select Strategy Fund Acc,03/06/2015,385.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts Select Strategy Fund,Margetts Select Strategy Fund R Acc,03/06/2015,392.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts Venture Strategy Fund,Margetts Venture Strategy Fund Acc,03/06/2015,399.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts Venture Strategy Fund,Margetts Venture Strategy Fund R Acc,03/06/2015,406.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts International Strategy Fund,Margetts International Strategy Fund Acc,04/06/2015,282.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts International Strategy Fund,Margetts International Strategy Fund R Acc,04/06/2015,287.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts Providence Strategy Fund,Margetts Providence Strategy Fund Acc,04/06/2015,336.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Rated Strategy,Margetts Providence Strategy Fund,Margetts Providence Strategy Fund Inc,04/06/2015,166.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
