FMDealingCode,TradeIdentifier,TradeFileDate,SchemeIdentifier,SecurityName,SecurityIdentifier,NewSecurity,Direction,DealType,Value,SettlementCurrency,PreviouslyReported,Notes,Scheme from Rebalancer (DELETE AFTER VERIFICATION),Scheme from PID lookup sheet (DELETE AFTER VERIFICATION)
DMITRY,153792,21/04/2023,69,ISHARES GBP INDEX-LNK GILTS,IE00B1FZSD53,N,BUY,Unit,,GBP,N,Broker Trade,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
DMITRY,153793,21/04/2023,69,ROYAL LONDON STERLING CREDIT Z FUND INCOME,GB00B4W1ZT22,N,BUY,Cash,90000.0,GBP,N,Rebalancing,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
DMITRY,153794,21/04/2023,69,ISHARES FTSE UK GILTS 0-5 GBP,IE00B4WXJK79,N,BUY,Unit,,GBP,N,Broker Trade,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
DMITRY,153795,21/04/2023,69,ISHARES ESG OVERSEAS CORPORATE BOND INDEX FUND(UK),GB00B58YKH53,N,BUY,Cash,75000.0,GBP,N,Rebalancing,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
DMITRY,153796,21/04/2023,69,Artemis Corporate Bond Fund I Acc GBP,GB00BFZ91W59,N,BUY,Cash,75000.0,GBP,N,Rebalancing,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
DMITRY,153797,21/04/2023,69,ROYAL LONDON SH TM MMK- Y,GB00B8XYYQ86,N,BUY,Cash,135000.0,GBP,N,Rebalancing,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
DMITRY,153798,21/04/2023,69,HSBC EUROPEAN INDEX C ACC,GB00B80QGH28,N,BUY,Cash,75000.0,GBP,N,Rebalancing,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
DMITRY,153799,21/04/2023,69,ISHARES MSCI TARGET UK RE UCITS ETF,IE00BRHZ0398,N,BUY,Unit,,GBP,N,Broker Trade,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
DMITRY,153800,21/04/2023,69,VANGUARD FTSE UK ALL SHARE INDEX UNIT TRUST ACC,GB00B3X7QG63,N,BUY,Cash,140000.0,GBP,N,CIS Critical Instructed,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
DMITRY,153801,21/04/2023,69,MFM SLATER GROWTH CLASS P ACC,GB00B7T0G907,N,SELL,Cash,20000.0,GBP,N,CIS Critical Instructed,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
DMITRY,153802,21/04/2023,69,ALLIANZ UK EQUITY INCOME FUND CLASS E SHARES INCOM,GB00BMH6XK58,N,BUY,Cash,75000.0,GBP,N,Rebalancing,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
DMITRY,153803,21/04/2023,69,ARTEMIS US SMALLER COMPANIES I ACC,GB00BMMV5766,N,BUY,Cash,90000.0,GBP,N,Rebalancing,CLARION PRUDENCE,MGTS Clarion Prudence Portfolio
DMITRY,153792,21/04/2023,123,"RATHBONE ETHICL BND I ACC ""UF""",GB00B77DQT14,N,BUY,Cash,65000.0,GBP,N,Rebalancing,IBOSS 1,MGTS IBOSS 1 Fund
DMITRY,153793,21/04/2023,123,TWENTYFOUR CORP BOND-I GBP ACC,IE00BSMTGG87,N,BUY,Cash,80000.0,GBP,N,Rebalancing,IBOSS 1,MGTS IBOSS 1 Fund
DMITRY,153792,21/04/2023,125,VANGUARD GLOBAL BOND INDEX FUND GBP HEDGED ACC,IE00B50W2R13,N,BUY,Cash,200000.0,GBP,N,Rebalancing,IBOSS 2,MGTS IBOSS 2 Fund
DMITRY,153793,21/04/2023,125,FIDELITY GLOBAL DIVIDEND W ACC,GB00B7GJPN73,N,SELL,Cash,175000.0,GBP,N,Rebalancing,IBOSS 2,MGTS IBOSS 2 Fund
DMITRY,153794,21/04/2023,125,POLAR CAPITAL UK VALUE OPPORTUNITIES S GBP ACC,IE00BD81XV77,N,SELL,Cash,120000.0,GBP,N,Rebalancing,IBOSS 2,MGTS IBOSS 2 Fund
DMITRY,153792,21/04/2023,126,ARTEMIS UK SELECT FUND I ACC,GB00B2PLJG05,N,SELL,Cash,310000.0,GBP,N,Rebalancing,IBOSS 4,MGTS IBOSS 4 Fund
DMITRY,153793,21/04/2023,126,HENDERSON EUROPEAN FOCUS I ACC,GB00B54J0L85,N,SELL,Cash,250000.0,GBP,N,Rebalancing,IBOSS 4,MGTS IBOSS 4 Fund
