,Allianz UK Listed Opports C Acc GBP,Artemis SmartGARP UK Eq Fd I Acc GBP,Artemis UK Select I Acc,ASI UK Sustainable & Rspnb Invmt Eq IAcc,Aviva Investors UK Lstd Eq Uncons2GBPAcc,Aviva Investors UK Lstd S&M Cap2 GBP Acc,BlackRock UK Special Situations D Acc,BMO Responsible UK Equity 2 Acc,CFP SDL Free Spirit General Acc,ES R&M UK Recovery B Inc
ISIN,GB00B8BB9445,GB00B2PLJM64,GB00B2PLJG05,GB00B131GD17,GB0004460357,GB0004460571,GB00B3V1C060,GB0033396481,GB00BYYQC271,GB00B614J053
Average Market Cap (mil) (Long),1530.92953,12793.25751,7421.50328,6762.52572,9921.14021,1487.95596,5809.94369,7152.3267,1218.4548,5508.25314
Value-Growth Score (Long),61.817,11.981,70.695,204.009,65.931,162.697,162.189,174.392,244.468,68.95
Return,-0.121991,1.759861,1.006904,0.914278,0.750062,0.208491,0.712181,0.393185,0.070714,1.677287
Return.1,-0.64327,-1.02994,-1.587392,-1.628065,-0.998518,-1.199168,-1.146062,-0.587467,0.010095,-1.285404
Return.2,0.950664,-0.155254,-0.416755,-0.270064,-0.010692,-0.298645,0.123335,0.06566,0.423943,0.15504
Return.3,0.72252,0.773575,1.247748,1.076239,0.588109,1.359447,1.37965,0.62336,1.165946,0.241937
Return.4,0.580318,-0.569433,0.841992,0.741911,0.609475,1.091157,0.558931,0.880339,0.268256,-0.282601
Return.5,0.753265,-0.709049,0.185969,-1.63655,-1.669426,-1.795218,-0.966651,-1.098901,-0.336901,-1.241381
Return.6,1.606617,1.678688,2.615778,2.530329,1.615387,1.850933,2.342606,2.418301,0.715848,1.626805
Return.7,0.829746,-0.836099,0.147667,0.601758,0.722594,0.509592,0.0,0.638162,0.394867,-0.480229
Return.8,1.832156,1.529342,1.198024,1.209759,1.165354,1.353266,1.645207,1.521877,0.943953,2.047076
Return.9,-0.2897,0.373063,-0.207628,0.883193,0.664176,0.033104,0.750645,0.593379,-1.052016,0.104755
Return.10,0.86398,0.462686,1.173529,1.14534,1.756014,1.871599,1.466822,1.521267,1.309313,1.074817
Return.11,-0.614008,-0.033576,0.643997,0.663803,1.148222,0.761595,0.573658,1.070336,0.165193,-0.268024
Return.12,-1.098314,-1.490494,-2.30499,-1.525731,-1.318821,-1.601232,-1.117956,-1.240545,-0.960419,-0.89258
Return.13,1.326444,-0.333874,0.311892,0.026261,-0.033834,0.018202,-0.230734,-0.122549,-0.479969,-0.326964
Return.14,-0.258772,-1.119868,-0.201185,-0.242846,-0.514452,-0.93907,-0.578168,-0.276074,0.777559,-0.405626
Return.15,-1.487982,0.325078,-0.317047,-0.565827,-0.483092,-0.378454,-0.535008,-0.830514,-0.234398,0.658745
Return.16,-0.898528,0.651303,0.935782,-1.065308,-0.581157,-0.63807,-0.280636,-0.744417,0.430739,0.346811
Return.17,-0.062529,1.199149,0.761357,0.789192,0.852761,0.723831,0.65666,0.4375,-0.165708,0.895272
Return.18,0.860316,1.012469,1.40094,1.698739,1.319468,1.99005,1.770736,1.680149,0.810389,1.252129
Return.19,0.457506,0.13027,0.356538,-1.513767,-0.837904,0.737127,0.160256,-0.856793,0.581114,0.39565
